epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7316,1.65279,3.27205,1.6876,0.00484,0.69828,0.36845,0.19843,1.41807,3.05009,1.48564,0.00028339,0.00028339,0.00028339
2,47.0778,1.48007,1.85048,1.4154,0.96563,0.10518,0.43158,0.23809,1.44193,2.89827,1.50591,0.000577674,0.000577674,0.000577674
3,68.7864,1.43436,1.61979,1.37965,0.8705,0.30435,0.45269,0.24561,1.58604,2.62511,1.72722,0.000866017,0.000866017,0.000866017
4,91.8216,1.46982,1.55073,1.41375,0.69592,0.51707,0.57462,0.27808,1.7379,2.10096,1.85956,0.00114842,0.00114842,0.00114842
5,113.674,1.46425,1.4529,1.40151,0.72254,0.3114,0.3778,0.16376,1.97101,2.52807,2.0741,0.00142488,0.00142488,0.00142488
6,134.664,1.4986,1.44355,1.43725,0.36402,0.45703,0.26244,0.11623,2.18441,4.10893,2.25,0.00158448,0.00158448,0.00158448
7,156.536,1.50666,1.35771,1.43318,0.47992,0.37288,0.34018,0.1621,2.10157,2.4305,2.00819,0.00156798,0.00156798,0.00156798
8,177.187,1.49117,1.27444,1.42932,0.31512,0.241,0.18127,0.08028,2.43115,3.16284,2.49318,0.00155148,0.00155148,0.00155148
9,198.776,1.48559,1.23199,1.42711,0.56653,0.39059,0.42055,0.2143,1.99485,2.11272,1.92902,0.00153497,0.00153497,0.00153497
10,220.674,1.43252,1.1264,1.37675,0.76505,0.64501,0.72431,0.39857,1.53723,1.79004,1.52632,0.00151847,0.00151847,0.00151847
11,242.306,1.39417,1.09294,1.35544,0.77318,0.66392,0.73622,0.39475,1.61413,1.28013,1.58595,0.00150197,0.00150197,0.00150197
12,263.912,1.39675,1.09183,1.3728,0.69668,0.61433,0.68396,0.3606,1.69321,1.48525,1.75372,0.00148546,0.00148546,0.00148546
13,285.609,1.3745,1.02467,1.34541,0.74648,0.67851,0.73293,0.3963,1.59403,1.49454,1.56209,0.00146896,0.00146896,0.00146896
14,307.208,1.34691,0.99747,1.3161,0.7815,0.72837,0.7716,0.43067,1.4967,1.14818,1.47733,0.00145246,0.00145246,0.00145246
15,330.839,1.36064,0.99223,1.34847,0.81496,0.66182,0.7679,0.43185,1.53032,1.17185,1.52937,0.00143595,0.00143595,0.00143595
16,354.411,1.33884,0.96559,1.32546,0.84547,0.72041,0.8194,0.48535,1.42066,1.05267,1.46362,0.00141945,0.00141945,0.00141945
17,374.852,1.31619,0.93236,1.30529,0.82606,0.73325,0.82876,0.46979,1.50065,1.03366,1.45715,0.00140295,0.00140295,0.00140295
18,396.86,1.29329,0.89944,1.29077,0.79431,0.76618,0.83434,0.48276,1.43831,1.02293,1.46917,0.00138644,0.00138644,0.00138644
19,421.057,1.31204,0.90869,1.29368,0.86448,0.80922,0.87463,0.52939,1.36659,0.84904,1.36404,0.00136994,0.00136994,0.00136994
20,442.856,1.25319,0.87666,1.26715,0.81069,0.78219,0.84359,0.48345,1.48073,0.97278,1.44834,0.00135344,0.00135344,0.00135344
21,464.17,1.25484,0.8651,1.26505,0.83312,0.83318,0.87037,0.51497,1.3811,0.89599,1.39127,0.00133693,0.00133693,0.00133693
22,485.754,1.24363,0.84848,1.25529,0.88196,0.8434,0.9092,0.54496,1.33289,0.79077,1.33666,0.00132043,0.00132043,0.00132043
23,506.049,1.24241,0.84445,1.26073,0.8927,0.82371,0.89251,0.53805,1.33673,0.82216,1.35268,0.00130393,0.00130393,0.00130393
24,528.048,1.23011,0.83855,1.26303,0.86509,0.80233,0.87555,0.51334,1.40001,0.90829,1.3945,0.00128742,0.00128742,0.00128742
25,551.187,1.23035,0.83867,1.24048,0.83953,0.82098,0.87409,0.52047,1.37661,0.85543,1.39639,0.00127092,0.00127092,0.00127092
26,572.981,1.19261,0.80085,1.23902,0.88627,0.85151,0.90051,0.52881,1.38394,0.767,1.35951,0.00125442,0.00125442,0.00125442
27,594.259,1.20016,0.79762,1.23967,0.89467,0.79864,0.8813,0.53914,1.29981,0.81978,1.32974,0.00123791,0.00123791,0.00123791
28,614.417,1.18459,0.78968,1.21777,0.90237,0.84129,0.91962,0.56974,1.2853,0.71723,1.30184,0.00122141,0.00122141,0.00122141
29,636.019,1.18434,0.78101,1.22482,0.8839,0.83166,0.88824,0.54675,1.27311,0.80488,1.29586,0.00120491,0.00120491,0.00120491
30,658.655,1.16842,0.77215,1.21273,0.90898,0.865,0.92611,0.58795,1.23986,0.69464,1.2771,0.0011884,0.0011884,0.0011884
31,679.455,1.16485,0.74948,1.22007,0.88445,0.82245,0.90257,0.57423,1.24953,0.76977,1.28115,0.0011719,0.0011719,0.0011719
32,700.812,1.15618,0.75101,1.20279,0.92485,0.82708,0.90854,0.57848,1.26104,0.74857,1.28071,0.0011554,0.0011554,0.0011554
33,722.543,1.15125,0.75176,1.20549,0.87937,0.84873,0.90561,0.55517,1.31253,0.73408,1.33693,0.00113889,0.00113889,0.00113889
34,742.799,1.16115,0.74829,1.20383,0.92632,0.87957,0.92727,0.58751,1.23673,0.67819,1.30243,0.00112239,0.00112239,0.00112239
35,764.208,1.14698,0.73623,1.21097,0.90284,0.87109,0.92455,0.58698,1.26169,0.69706,1.31799,0.00110589,0.00110589,0.00110589
36,784.686,1.1406,0.72667,1.19709,0.85475,0.8579,0.90295,0.574,1.26341,0.71931,1.29851,0.00108938,0.00108938,0.00108938
37,807.247,1.09807,0.71085,1.18581,0.9226,0.87489,0.93642,0.6052,1.20027,0.67227,1.26249,0.00107288,0.00107288,0.00107288
38,829.119,1.10324,0.68589,1.18058,0.9075,0.8937,0.94267,0.59708,1.21429,0.65445,1.26619,0.00105638,0.00105638,0.00105638
